Population,Per Capita Income,Median Household Income,Total Pop by Tenure,zip code tabulation area
770.0,20417.0,32422.0,467.0,27813
2467.0,27821.0,63125.0,2272.0,27865
1586.0,22373.0,35764.0,1052.0,27829
4685.0,22289.0,45335.0,3315.0,27830
2883.0,19076.0,36856.0,1715.0,27845
701.0,17000.0,20750.0,458.0,27847
58874.0,20090.0,44806.0,25107.0,27858
1156.0,9315.0,30487.0,445.0,27826
66.0,19028.0,42500.0,62.0,27827
1523.0,21209.0,37418.0,1098.0,27849
6168.0,35238.0,73854.0,4965.0,27837
1112.0,11573.0,30200.0,873.0,27843
16555.0,26168.0,50807.0,12324.0,27856
3503.0,19003.0,31225.0,1593.0,27839
1456.0,32750.0,56667.0,1192.0,27842
3235.0,15890.0,26477.0,2313.0,27844
243.0,-666666666.0,46010.0,204.0,27853
57038.0,20569.0,34512.0,24096.0,27834
59.0,12750.0,19167.0,43.0,27861
64.0,12857.0,16250.0,30.0,27825
5329.0,23905.0,47162.0,4349.0,27851
946.0,20231.0,31992.0,750.0,27857
12974.0,27532.0,55673.0,8796.0,27863
8745.0,21545.0,39432.0,5289.0,27828
517.0,14583.0,26471.0,315.0,27840
3399.0,25924.0,41652.0,2737.0,27852
4904.0,23268.0,38682.0,2882.0,27864
785.0,24423.0,34792.0,359.0,27866
2012.0,33052.0,62750.0,1123.0,27824
3247.0,23618.0,45227.0,2366.0,27846
5862.0,15473.0,29781.0,3411.0,27855
3487.0,17725.0,27513.0,2536.0,27831
2759.0,17319.0,35605.0,1711.0,27832
25.0,18250.0,-666666666.0,24.0,27841
1760.0,19583.0,36493.0,1343.0,27860
649.0,23250.0,33636.0,413.0,27862
6907.0,21937.0,40401.0,5075.0,27850
379.0,16466.0,19583.0,232.0,27872
1189.0,30287.0,61681.0,1188.0,27884
38981.0,20212.0,34626.0,16800.0,27893
848.0,31000.0,37639.0,573.0,27915
1386.0,19730.0,30474.0,979.0,27876
7584.0,22549.0,40364.0,4900.0,27882
27016.0,23290.0,38407.0,17866.0,27889
2461.0,19704.0,35343.0,1590.0,27888
1933.0,16004.0,28531.0,1297.0,27869
2461.0,15609.0,30080.0,1220.0,27890
451.0,23500.0,47813.0,307.0,27873
140.0,-666666666.0,-666666666.0,30.0,27881
283.0,25066.0,52188.0,215.0,27879
592.0,23669.0,-666666666.0,390.0,27875
2886.0,28649.0,65481.0,2113.0,27880
951.0,33918.0,66406.0,799.0,27916
1093.0,17901.0,-666666666.0,879.0,27919
1443.0,21903.0,31914.0,821.0,27920
2073.0,17961.0,35067.0,1039.0,27897
12015.0,20436.0,36240.0,6722.0,27910
909.0,14777.0,31250.0,377.0,27917
20624.0,21609.0,34938.0,12421.0,27886
5232.0,19503.0,41205.0,3811.0,27891
20746.0,34572.0,62676.0,14827.0,27896
14109.0,22931.0,36262.0,9197.0,27892
26033.0,21085.0,34889.0,15836.0,27870
1044.0,18934.0,-666666666.0,934.0,27885
1910.0,18785.0,24893.0,813.0,27878
3286.0,25861.0,42957.0,2333.0,27883
39577.0,25878.0,47274.0,22046.0,27909
4416.0,19003.0,35552.0,2861.0,27871
3991.0,22710.0,32123.0,2340.0,27874
5041.0,39326.0,67418.0,3424.0,27921
600.0,26176.0,46250.0,282.0,27923
827.0,19500.0,39079.0,651.0,27942
10402.0,40597.0,82843.0,9112.0,27958
3934.0,17527.0,34796.0,2287.0,27925
771.0,26760.0,68125.0,548.0,27927
1405.0,36708.0,74167.0,1366.0,27929
11944.0,25114.0,44468.0,8489.0,27944
1088.0,32083.0,52898.0,962.0,27946
1085.0,30123.0,44188.0,519.0,27953
500.0,50326.0,-666666666.0,409.0,27956
1464.0,23105.0,42222.0,1186.0,27957
638.0,29900.0,61250.0,443.0,27964
120.0,40577.0,49375.0,50.0,27968
7304.0,34163.0,73731.0,6048.0,27949
958.0,22188.0,39516.0,668.0,27966
3275.0,20632.0,31880.0,2994.0,27924
1822.0,17675.0,35000.0,1216.0,27928
1648.0,31977.0,63914.0,1351.0,27935
4426.0,22533.0,54217.0,3802.0,27937
7592.0,17212.0,35601.0,4147.0,27962
1572.0,33813.0,54483.0,1246.0,27926
1610.0,24056.0,55625.0,1390.0,27947
2868.0,28750.0,56719.0,1821.0,27959
669.0,25909.0,41250.0,497.0,27965
865.0,20368.0,40547.0,738.0,27922
976.0,21773.0,37813.0,761.0,27936
2300.0,26801.0,55357.0,1701.0,27939
2156.0,35024.0,59071.0,1833.0,27950
7161.0,26806.0,50110.0,5146.0,27954
2928.0,22279.0,29590.0,2032.0,27970
12246.0,23466.0,41162.0,7818.0,27932
613.0,38634.0,59861.0,568.0,27941
404.0,26023.0,59904.0,119.0,27960
248.0,22159.0,28750.0,209.0,27967
1441.0,22250.0,43427.0,1007.0,27938
395.0,48242.0,80260.0,380.0,27943
11114.0,28453.0,55700.0,6554.0,27948
1118.0,28802.0,51645.0,785.0,27973
143.0,22171.0,43295.0,100.0,27978
2054.0,26166.0,45152.0,1871.0,27980
1619.0,26297.0,46813.0,743.0,27981
8887.0,16003.0,27713.0,4978.0,27983
67.0,17269.0,-666666666.0,58.0,27982
3086.0,18906.0,32778.0,706.0,27986
1201.0,24985.0,41786.0,747.0,27974
382.0,11719.0,25179.0,170.0,27985
269.0,-666666666.0,-666666666.0,130.0,27972
3710.0,35599.0,76250.0,3568.0,27976
1583.0,30448.0,50721.0,1131.0,27979
89.0,11071.0,21964.0,28.0,28039
26478.0,24462.0,44270.0,17048.0,28001
690.0,19158.0,35809.0,587.0,28007
4950.0,18856.0,36193.0,3905.0,28018
1877.0,25582.0,44844.0,1470.0,28020
53874.0,28001.0,52106.0,35148.0,28025
1160.0,18186.0,36429.0,931.0,28006
692.0,2499.0,-666666666.0,0.0,28017
13880.0,23242.0,44827.0,9947.0,28021
15577.0,25418.0,50123.0,11085.0,28023
17412.0,37861.0,114641.0,12814.0,28036
0.0,-666666666.0,-666666666.0,0.0,28019
3595.0,28493.0,50975.0,2982.0,28033
27116.0,42477.0,86027.0,19404.0,28031
8054.0,20353.0,39317.0,5935.0,28040
19947.0,36636.0,70968.0,16056.0,28037
1211.0,22250.0,32788.0,741.0,28009
13244.0,21728.0,39163.0,8168.0,28016
17375.0,22503.0,44495.0,12122.0,28034
22730.0,30458.0,61548.0,15048.0,28012
61581.0,32153.0,67274.0,44457.0,28027
3314.0,26500.0,55375.0,1875.0,28032
7297.0,26692.0,54801.0,5782.0,28107
79.0,30833.0,61917.0,79.0,28108
1174.0,24653.0,48304.0,777.0,28072
507.0,14634.0,22292.0,275.0,28077
5784.0,29479.0,53118.0,4351.0,28097
10766.0,25597.0,56108.0,7671.0,28103
45379.0,34820.0,71921.0,34318.0,28105
58993.0,44713.0,92707.0,45141.0,28078
25264.0,24452.0,45503.0,15267.0,28083
2615.0,31215.0,53828.0,1824.0,28088
703.0,31167.0,53929.0,489.0,28101
20624.0,20162.0,33662.0,11438.0,28043
25493.0,23423.0,41128.0,17245.0,28086
38952.0,24011.0,45358.0,27532.0,28092
37045.0,23479.0,41319.0,19045.0,28054
2107.0,21940.0,40587.0,1641.0,28091
47.0,-666666666.0,35833.0,43.0,28102
30309.0,41125.0,101439.0,27736.0,28104
342.0,3721.0,39250.0,48.0,28109
33651.0,30403.0,61134.0,27163.0,28056
2847.0,24673.0,44167.0,2431.0,28071
17973.0,39723.0,89798.0,16263.0,28075
35340.0,35491.0,74925.0,29561.0,28079
7665.0,24306.0,48962.0,5954.0,28080
218.0,2679.0,33333.0,70.0,28089
34827.0,18515.0,34195.0,17110.0,28052
886.0,14500.0,25946.0,442.0,28076
26893.0,25283.0,48777.0,15953.0,28081
8100.0,20316.0,33013.0,6353.0,28090
5598.0,23073.0,41579.0,3362.0,28073
3590.0,23278.0,49391.0,2532.0,28098
7217.0,23618.0,37298.0,5132.0,28114
11050.0,31460.0,60760.0,6156.0,28134
5528.0,27997.0,55154.0,3952.0,28163
54651.0,40763.0,106688.0,49193.0,28173
53744.0,27976.0,56250.0,35717.0,28110
6337.0,27265.0,58460.0,5305.0,28124
7932.0,22712.0,45491.0,5552.0,28127
3240.0,22162.0,46350.0,2548.0,28137
20288.0,23499.0,43007.0,15185.0,28139
26626.0,23076.0,49993.0,19196.0,28112
2255.0,27500.0,49444.0,1751.0,28133
25540.0,25209.0,47881.0,17238.0,28147
3703.0,20662.0,34205.0,2062.0,28160
14570.0,28490.0,55682.0,11929.0,28164
6005.0,21327.0,43872.0,3227.0,28135
9776.0,24443.0,48849.0,7118.0,28138
24894.0,23543.0,42044.0,16232.0,28152
3003.0,26448.0,52860.0,1624.0,28159
11256.0,21412.0,37664.0,6360.0,28170
38140.0,38864.0,85376.0,29274.0,28117
2247.0,27319.0,57399.0,1871.0,28125
7277.0,23448.0,42526.0,5559.0,28128
9462.0,28060.0,57488.0,7259.0,28166
36087.0,29360.0,60256.0,25123.0,28115
20421.0,28848.0,53423.0,15845.0,28120
96.0,21083.0,21364.0,55.0,28169
5468.0,28738.0,46975.0,4713.0,28129
27168.0,27186.0,51029.0,20073.0,28146
2823.0,19648.0,31719.0,2518.0,28167
3246.0,15574.0,30650.0,2124.0,28119
24596.0,20934.0,36380.0,11745.0,28144
27861.0,21682.0,36485.0,17890.0,28150
10503.0,23034.0,47236.0,8852.0,28168
22357.0,43357.0,70098.0,12330.0,28209
46771.0,26355.0,45202.0,19044.0,28205
39950.0,31640.0,57492.0,28674.0,28214
44800.0,22059.0,36897.0,15064.0,28212
28895.0,24468.0,45259.0,8720.0,28217
55902.0,28382.0,54928.0,37748.0,28227
9717.0,19101.0,47392.0,5691.0,28174
37678.0,19010.0,31264.0,12952.0,28208
48931.0,35929.0,64490.0,26434.0,28210
6164.0,42456.0,58698.0,2225.0,28204
38452.0,43131.0,84247.0,27992.0,28226
14824.0,52496.0,79861.0,6586.0,28203
59742.0,25981.0,48515.0,34642.0,28215
12094.0,54255.0,87857.0,3509.0,28202
12164.0,19234.0,28528.0,4235.0,28206
9579.0,47328.0,131164.0,7358.0,28207
30760.0,41681.0,77369.0,19192.0,28211
40427.0,25086.0,42265.0,19942.0,28213
51205.0,27407.0,49440.0,28972.0,28216
37654.0,32460.0,63031.0,20642.0,28273
76673.0,35920.0,63097.0,47385.0,28269
0.0,-666666666.0,-666666666.0,0.0,28244
0.0,-666666666.0,-666666666.0,0.0,28282
0.0,-666666666.0,-666666666.0,0.0,28280
44040.0,24718.0,51228.0,15269.0,28262
37201.0,25046.0,47979.0,20469.0,28304
5961.0,28033.0,47849.0,3423.0,28305
33478.0,42109.0,93019.0,25252.0,28270
18195.0,15296.0,24396.0,5269.0,28301
70582.0,51631.0,101490.0,53104.0,28277
25018.0,38171.0,82380.0,18186.0,28278
29056.0,25750.0,39844.0,14653.0,28303
35723.0,27364.0,52856.0,24869.0,28348
296.0,25000.0,31806.0,117.0,28332
7255.0,21576.0,38464.0,4722.0,28339
4405.0,19245.0,37204.0,3004.0,28341
25823.0,18631.0,31069.0,13627.0,28352
27883.0,18899.0,34521.0,16724.0,28328
9712.0,18248.0,28941.0,6672.0,28340
12097.0,18369.0,32805.0,7670.0,28345
3094.0,17019.0,37169.0,2466.0,28349
143.0,51722.0,-666666666.0,125.0,28350
245.0,30227.0,45469.0,151.0,28342
6381.0,22950.0,-666666666.0,0.0,28310
18939.0,23595.0,42901.0,12887.0,28312
620.0,23291.0,116944.0,0.0,28308
18120.0,25224.0,41756.0,82.0,28307
14082.0,22626.0,49591.0,8218.0,28315
4593.0,25289.0,46629.0,4147.0,28318
9640.0,22985.0,37810.0,6051.0,28320
10542.0,16956.0,31068.0,7221.0,28333
4381.0,20215.0,36645.0,3106.0,28338
3957.0,24093.0,42372.0,2903.0,28344
41564.0,27147.0,48095.0,25728.0,28306
15434.0,27403.0,51491.0,12640.0,28327
25103.0,21332.0,36840.0,15777.0,28334
10383.0,21096.0,31547.0,6835.0,28337
1317.0,21901.0,33713.0,702.0,28343
22162.0,29770.0,58237.0,11131.0,28326
